protein,interactors
BCL6,MTA3 HDAC1 MBD3 HDAC5 HDAC7 CHD4 ZBTB17 HDAC4
HDAC4,MAPK3 BCL6 GNB1 GNG2 MAPK1
HDAC5,GNB1 BCL6 GNG2
HDAC7,BCL6
EP300,MAML1 ESR1 MED1 MED10 SMARCA4 CREBBP KAT2B SUPT16H POLR2A HIPK2 MED14 HDAC1 MED23 MDM2 MED21 NCOA2 HDAC6 E2F4 NCOA1 MED16 TP53 ARID1A CTNNB1 MED17 RBPJ CCNT1 RBL2 RUNX1 CDK9 CCNC SMARCC1 SOX4 ESR2 CTBP1 MED13 MED6 STAT3 PIAS3 SP1 MED12 EGR1 SUV39H1 E2F5 MED20 WWTR1 SMARCC2 CDK7 TBX5 CTBP2 NCOA3 RUNX2 MED7 SMARCB1 SUPT6H FOXO3 PCNA NOTCH1 TCF4 SP3 SMAD3 CDK8 INPP5K SUMO1 SMAD1 ING1 MED24
CREBBP,IKBKG ARID1B STAT1 H4C12 H4C6 CAMK2D RXRA H3C3 SP1 H4C9 SMARCA4 H3C7 SMAD4 SMAD2 H3C2 KAT2B H4C13 EP300 H4C14 NONO POLR2A HDAC1 MED21 RARA GTF2H3 H3C8 H3C6 NCOA2 PARP1 H4C8 GTF2F1 H4C5 H4C1 ERCC3 HES1 NCOA1 H3C4 SRC SMARCC2 CDK7 H4C3 ARID1A CTNNB1 H4C11 NCOA3 H3C11 RO60 SMARCB1 RBPJ H4C2 IKBKB H4C15 H4C4 SUPT6H FOXO3 H3C12 TCF4 CCNC SP3 TRIM33 H3C10 SMAD3 CDK8 SMARCC1 MYOD1 GTF2B SMAD1 CHUK IRF3 H4-16 H3C1 SMARCA2
KAT2B,H4C12 TADA3 H4C6 CAMK2D H3C3 H4C9 SMARCA4 H3C7 CREBBP TRRAP H3C2 H4C13 KIF11 EP300 H4C14 NONO POLR2A TAF5L MED21 GTF2H3 H3C8 H3C6 PARP1 H4C8 GTF2F1 H4C5 H4C1 ERCC3 HES1 WWTR1 TAF9 TADA2A H3C4 SRC SUPT3H TBX5 H4C3 TAF10 TAF12 H4C11 NCOA3 H3C11 TAF6L SMARCB1 H4C2 MYSM1 H4C15 H4C4 TACC3 FOXO3 H3C12 CCNC TACC2 H3C10 CDK8 MYOD1 GTF2B H4-16 H3C1 SMARCA2
NCOA3,BCL3 IKBKG SMARCC2 ARID1B ESR1 SMARCA4 RO60 CREBBP SMAD4 SMAD2 RELA KAT2B IKBKB EP300 AR NCOA2 TRIM33 SMAD3 SMARCC1 CHUK MAK
SMC2,TERF2 NCAPG2 SMARCA5 NCAPG NCAPH2 TERF2IP SIN3A NCAPD2 KIF4A MCPH1 HDAC1 SMC4 PARP1 XRCC1 LIG4 NCAPH NCAPD3 DNMT3B
NCAPH,NCAPG NCAPD2 SMC4 SMC2 PARP1 XRCC1
