Bait_full_name (and modifications, batch id)	Bait	Prey	Interaction_type	log2FC	pvalue	log2FC(noR_for_direct)	pvalue(noR_for_direct)	log2FC(R_for_direct)	pvalue(R_for_direct)	in_CORUM	CORUM_complex	in_Mentha	Mentha_score	in_HI	in_HIPPIE	HIPPIE_score	in_recY2H	recY2H_score	PPI_support	Life_cycle_step	bait_eclipped	prey_eclipped	Bait_targets_cnt	Prey_targets_cnt	shared_targets	Bait_main_location	Prey_main_location	Bait_main_location(nucl/cyto)	Prey_main_location(nucl/cyto)	Prey_is_RBP	Prey_HydRa_score	Prey_PSP_PScore	Bait_Disgenet_disease_#1	Bait_Disgenet_disease_#2	Prey_Disgenet_disease_#1	Prey_Disgenet_disease_#2	Prey_SAFE_localization	Prey_MMF_localization	Bait_SAFE_localization	Bait_MMF_localization	Prey_NMF_localization_2018
AGO2_new	AGO2	ADD1	RNA shielded	3.59637926281516	0.0152408984309217	3.59637926281516	0.0152408984309217	3.59637926281516	0.0152408984309217	False		False		False	False		False		False		False	False				Cell Junctions;Nucleoplasm	Plasma membrane	nucleus	secretory	1.0	0.9866978972934703	2.32	Alcoholic Intoxication, Chronic	Myeloid Leukemia	Essential Hypertension	Liver carcinoma	cell junction, plasma membrane	cell junction	centrosome enriched, P-body enriched	centrosome	
AGO2_new	AGO2	AGO2	RNA shielded	2.97636187736521	0.0095238095238095	2.97636187736521	0.0095238095238095	2.97636187736521	0.0095238095238095	True	TTP-AGO2 complex,RNA-induced silencing complex, RISC,AGO2-FXR1-TNF(alpha)ARE-RNP complex,TRBP containing complex (DICER, TRBP, AGO2, RPL7A, EIF6, MOV10),RNA-induced silencing complex, RISC	True	0.155	False	False		False		True		False	False				Cell Junctions;Nucleoplasm	Cell Junctions;Nucleoplasm	nucleus	nucleus	1.0	0.9908834307992626	0.91	Alcoholic Intoxication, Chronic	Myeloid Leukemia	Alcoholic Intoxication, Chronic	Myeloid Leukemia	centrosome enriched, P-body enriched	centrosome	centrosome enriched, P-body enriched	centrosome	 plasma membrane
AGO2_new	AGO2	ALB	RNA shielded	4.56878452646202	0.0148662357046985	4.56878452646202	0.0148662357046985	4.56878452646202	0.0148662357046985	False		False		False	False		False		False		False	False				Cell Junctions;Nucleoplasm	Golgi apparatus	nucleus	secretory	0.0	0.8172553639312141	-0.11	Alcoholic Intoxication, Chronic	Myeloid Leukemia	Hyperthyroxinemia, Familial Dysalbuminemic	Diabetic Nephropathy			centrosome enriched, P-body enriched	centrosome	
AGO2_new	AGO2	C3	RNA shielded	3.39919039791207	0.0162583580013999	3.39919039791207	0.0162583580013999	3.39919039791207	0.0162583580013999	False		False		False	False		False		False		False	False				Cell Junctions;Nucleoplasm		nucleus				1.14	Alcoholic Intoxication, Chronic	Myeloid Leukemia	Age related macular degeneration	COMPLEMENT COMPONENT 3 DEFICIENCY, AUTOSOMAL RECESSIVE			centrosome enriched, P-body enriched	centrosome	
AGO2_new	AGO2	CUX1	RNA shielded	4.1948807160369	0.0246595469930026	4.1948807160369	0.0246595469930026	4.1948807160369	0.0246595469930026	False		False		False	False		False		False		False	False				Cell Junctions;Nucleoplasm	Golgi apparatus;Nucleoplasm	nucleus	nucleus	0.0	0.8917511942524134	2.71	Alcoholic Intoxication, Chronic	Myeloid Leukemia	Malignant neoplasm of breast	melanoma	-	Golgi apparatus	centrosome enriched, P-body enriched	centrosome	 chromosome
AGO2_new	AGO2	DBN1	RNA shielded	2.81328279155693	0.0219352126298406	2.81328279155693	0.0219352126298406	2.81328279155693	0.0219352126298406	False		False		False	False		False		False		False	False				Cell Junctions;Nucleoplasm	Actin filaments;Plasma membrane	nucleus	cytoplasm	1.0	0.9064132261921118	2.06	Alcoholic Intoxication, Chronic	Myeloid Leukemia	Schizophrenia	Bipolar Disorder	cell junction, plasma membrane	actin cytoskeleton, cytosol	centrosome enriched, P-body enriched	centrosome	
AGO2_new	AGO2	FAM168A	RNA shielded	3.22460711729263	0.0158466203637517	3.22460711729263	0.0158466203637517	3.22460711729263	0.0158466203637517	False		False		False	False		False		False		False	False				Cell Junctions;Nucleoplasm	Nucleoplasm	nucleus	nucleus	0.0	0.7381397679524946	1.83	Alcoholic Intoxication, Chronic	Myeloid Leukemia	Malignant neoplasm of stomach	Hereditary Diffuse Gastric Cancer			centrosome enriched, P-body enriched	centrosome	
AGO2_new	AGO2	IGKV3D-20	RNA shielded	2.36390608122525	0.0288580480065974	2.36390608122525	0.0288580480065974	2.36390608122525	0.0288580480065974	False		False		False	False		False		False		False	False				Cell Junctions;Nucleoplasm		nucleus					Alcoholic Intoxication, Chronic	Myeloid Leukemia	No Disgenet record	No Disgenet record			centrosome enriched, P-body enriched	centrosome	
AGO2_new	AGO2	IGLL5	RNA shielded	2.14317436210208	0.0323690495727297	2.14317436210208	0.0323690495727297	2.14317436210208	0.0323690495727297	False		False		False	False		False		False		False	False				Cell Junctions;Nucleoplasm		nucleus		0.0	0.9495048807764898	0.52	Alcoholic Intoxication, Chronic	Myeloid Leukemia	Chronic Lymphocytic Leukemia	POEMS Syndrome			centrosome enriched, P-body enriched	centrosome	
AGO2_new	AGO2	IGLV1-51	RNA shielded	3.09682983007456	0.019603680628835	3.09682983007456	0.019603680628835	3.09682983007456	0.019603680628835	False		False		False	False		False		False		False	False				Cell Junctions;Nucleoplasm		nucleus					Alcoholic Intoxication, Chronic	Myeloid Leukemia	No Disgenet record	No Disgenet record			centrosome enriched, P-body enriched	centrosome	
AGO2_new	AGO2	IGLV2-11;IGLV2-8	RNA shielded	2.14075774684305	0.0479573535588288	2.14075774684305	0.0479573535588288	2.14075774684305	0.0479573535588288	False		False		False	False		False		False		False	False				Cell Junctions;Nucleoplasm		nucleus					Alcoholic Intoxication, Chronic	Myeloid Leukemia	No Disgenet record	No Disgenet record			centrosome enriched, P-body enriched	centrosome	
AGO2_new	AGO2	KRT13	RNA shielded	5.07955968552185	0.0147401798771641	5.07955968552185	0.0147401798771641	5.07955968552185	0.0147401798771641	False		False		False	False		False		False		False	False				Cell Junctions;Nucleoplasm	Intermediate filaments	nucleus	cytoplasm	0.0	0.6731272322028842	8.28	Alcoholic Intoxication, Chronic	Myeloid Leukemia	Leukokeratosis, Hereditary Mucosal	WHITE SPONGE NEVUS 2			centrosome enriched, P-body enriched	centrosome	
AGO2_new	AGO2	LIMA1	RNA shielded	3.62698448883255	0.0179769321948882	3.62698448883255	0.0179769321948882	3.62698448883255	0.0179769321948882	False		False		False	False		False		False		False	False				Cell Junctions;Nucleoplasm	Actin filaments;Plasma membrane	nucleus	cytoplasm	1.0	0.9704726440747744	0.49	Alcoholic Intoxication, Chronic	Myeloid Leukemia	Malignant tumor of colon	Colorectal Carcinoma	cell junction, plasma membrane	actin cytoskeleton, cytosol	centrosome enriched, P-body enriched	centrosome	
AGO2_new	AGO2	NMNAT1	RNA shielded	1.8204535107153	0.0248382102820657	1.8204535107153	0.0248382102820657	1.8204535107153	0.0248382102820657	False		False		False	False		False		False		False	False				Cell Junctions;Nucleoplasm	Nuclear bodies;Nucleoplasm	nucleus	nucleus	0.0	0.8937608872682613	-0.19	Alcoholic Intoxication, Chronic	Myeloid Leukemia	LEBER CONGENITAL AMAUROSIS 9 (disorder)	Leber Congenital Amaurosis	chromatin, nucleoplasm	chromatin	centrosome enriched, P-body enriched	centrosome	 nucleus
AGO2_new	AGO2	PAWR	RNA shielded	4.27552072257339	0.0189135482742267	4.27552072257339	0.0189135482742267	4.27552072257339	0.0189135482742267	False		False		False	False		False		False		False	False				Cell Junctions;Nucleoplasm	Plasma membrane	nucleus	secretory	1.0	0.9328678114271578	3.16	Alcoholic Intoxication, Chronic	Myeloid Leukemia	Malignant neoplasm of prostate	Major Depressive Disorder	no prediction	actin cytoskeleton, cytosol	centrosome enriched, P-body enriched	centrosome	
AGO2_new	AGO2	PDE4C	RNA shielded	5.07301362733259	0.0146793421678479	5.07301362733259	0.0146793421678479	5.07301362733259	0.0146793421678479	False		False		False	False		False		False		False	False				Cell Junctions;Nucleoplasm		nucleus		0.0	0.6861933306226151	0.31	Alcoholic Intoxication, Chronic	Myeloid Leukemia	Down Syndrome	Glioma			centrosome enriched, P-body enriched	centrosome	
AGO2_new	AGO2	PLEC	RNA shielded	3.11398477966724	0.015646504909425	3.11398477966724	0.015646504909425	3.11398477966724	0.015646504909425	False		False		False	False		False		False		False	False				Cell Junctions;Nucleoplasm	Cytosol;Intermediate filaments	nucleus	cytoplasm	1.0	0.990987445658164	5.02	Alcoholic Intoxication, Chronic	Myeloid Leukemia	Epidermolysa bullosa simplex and limb girdle muscular dystrophy	Epidermolysis bullosa simplex, Ogna type	centrosome enriched, P-body enriched	centrosome	centrosome enriched, P-body enriched	centrosome	
