ComplexID	ComplexName	subunits(UniProt IDs)	subunits(Gene name)
1	BCL6-HDAC4 complex	P41182;P56524	BCL6;HDAC4
2	BCL6-HDAC5 complex	P41182;Q9UQL6	BCL6;HDAC5
3	BCL6-HDAC7 complex	P41182;Q8WUI4	BCL6;HDAC7
4	Multisubunit ACTR coactivator complex	Q09472;Q92793;Q92831;Q9Y6Q9	EP300;CREBBP;KAT2B;NCOA3
10	Condensin I complex	O95347;Q15003;Q15021;Q9BPX3;Q9NTJ3	SMC2;NCAPH;NCAPD2;NCAPG;SMC4
11	BLOC-3 (biogenesis of lysosome-related organelles complex 3)	Q92902;Q9NQG7	HPS1;HPS4
12	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Q86YV9;Q969F9;Q9UPZ3	HPS6;HPS3;HPS5
13	CDS1 -MUS81 complex	Q92903;Q96NY9	CDS1;MUS81
15	NCOR complex	O15379;O60907;O75376;Q13227;Q92828;Q9BZK7	HDAC3;TBL1X;NCOR1;GPS2;CORO2A;TBL1XR1
23	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	O95295;P78537;Q6QNY0;Q6QNY1;Q8TDH9;Q96EV8;Q9NUP1;Q9UL45	SNAPIN;BLOC1S1;BLOC1S3;BLOC1S2;BLOC1S5;DTNBP1;BLOC1S4;BLOC1S6
27	Arp2/3 protein complex	O15143;O15144;O15145;O15511;P59998;P61158;P61160	ARPC1B;ARPC2;ARPC3;ARPC5;ARPC4;ACTR3;ACTR2
29	PA28gamma complex	P61289	PSME3
30	PA28 complex	Q06323;Q9UL46	PSME1;PSME2
32	PA700 complex	O00231;O00232;O00233;O00487;O43242;O75832;P17980;P35998;P43686;P48556;P51665;P55036;P62191;P62195;P62333;Q13200;Q15008;Q16401;Q99460;Q9UNM6	PSMD11;PSMD12;PSMD9;PSMD14;PSMD3;PSMD10;PSMC3;PSMC2;PSMC4;PSMD8;PSMD7;PSMD4;PSMC1;PSMC5;PSMC6;PSMD2;PSMD6;PSMD5;PSMD1;PSMD13
36	AP1 adaptor complex	O43747;O75843;P56377;P61966;Q10567;Q96PC3;Q9BXS5;Q9Y6Q5	AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2
45	"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"	P49768;Q92542;Q96BI3;Q9NZ42	PSEN1;NCSTN;APH1A;PSENEN
49	DNMT3B complex	O60264;O95239;O95347;Q13547;Q96ST3;Q9NTJ3;Q9UBC3	SMARCA5;KIF4A;SMC2;HDAC1;SIN3A;SMC4;DNMT3B
50	RAB5A-RABEP1-RABGEF complex	P20339;Q15276;Q9UJ41	RAB5A;RABEP1;RABGEF1
55	HDAC4-ERK1 complex	P27361;P56524	MAPK3;HDAC4
57	HDAC4-ERK2 complex	P28482;P56524	MAPK1;HDAC4
58	SMRT complex	O15379;O60907;Q13227;Q9BZK7;Q9Y618	HDAC3;TBL1X;GPS2;TBL1XR1;NCOR2
59	AP3 adaptor complex	O00203;O14617;P53677;P59780;Q13367;Q92572;Q9Y2T2	AP3B1;AP3D1;AP3M2;AP3S2;AP3B2;AP3S1;AP3M1
61	Mi2/NuRD complex	O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769	MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2
